EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,CITY,COUNTRY_CODE,MIL_OPS_OPER_CODE,MIL_OPS_CALL,MIL_OPS_HRS,AMCP_HRS,PMSV_HRS,REMARK
2025/03/20,25903.0,A,VA,NGU,NORFOLK,US,N,CHAMBERS,24,24,CONTINUOUS,
2025/03/20,25959.0,A,VA,NYG,QUANTICO,US,N,QUANTICO,SAME AS ARPT OPERG HRS,,CONTINUOUS,
2025/03/20,26043.11,A,VA,NTU,VIRGINIA BEACH,US,N,OCEAN BASE OPNS,4,,PMSV 387.4-BASE OPS 284.9 (0700-1200Z++ NOT AVAL) ATCOM 6723.,
2025/03/20,26216.0,A,WA,GRF,FORT LEWIS/TACOMA,US,,,,,"OPR CONT. CLSD HOL.   AND 1500Z-0700Z++ FRI-SAT OR END OF LCL FLYING DAILY AND DURG INCLEMENT WX, AS REQUIRED, EXC HOL. WX BRIEFING FOR TRAN AIRCREW AVBL FM 25 OWS, DAVIS-MONTHAN AFB, DSN 228-6598.",(PMSV_HRS) WX OPS H24; CLSD HOL - 134.1 38.45 OR D357-7061/4363/ C253-967-7061/4363. AN/FMQ-19 AUTOMATED OBS SYS IN USE; AUGMENTED BY HUMAN OBS. WHEN WX FLT CLSD BRIEFING AVBL - 25 OWS D228-6598/6599/6588/C250-228-6598/6599/6588.
2025/03/20,26323.0,A,WA,NUW,OAK HARBOR,US,,,,,CONTINUOUS,
2025/03/20,26358.0,A,WA,NOW,PORT ANGELES,US,C,PORT ANGELES AIR,24,,,
2025/03/20,26419.0,A,WA,SKA,SPOKANE,US,A,WASHINGTON ANG,24,,24,
2025/03/20,26432.0,A,WA,TCM,TACOMA,US,A,MCCHORD OPERATIONS CENTER,24,24,,
2025/03/20,27346.0,A,WI,MSN,MADISON,US,A,RELAY,0730-1600,,,
2025/03/20,27388.0,A,WI,MKE,MILWAUKEE,US,A,UPSET CONTROL,0800-1630 TUE-SAT,,,
2025/03/20,27578.1,A,WI,CMY,SPARTA,US,R,MCCOY OPERATIONS,0630-1530 MON-FRI,,,
2025/03/20,27682.0,A,WI,ETB,WEST BEND,US,R,ARMY OPERATIONS,1330-2200Z MON-FRI EXC HOL.,,,
2025/03/20,27759.0,A,WY,CYS,CHEYENNE,US,,,,24,,
2025/03/20,50036.0,A,AK,EDF,ANCHORAGE,US,A,ELMENDORF ACC CENTER,24,24,CONTINUOUS,
2025/03/20,50036.5,A,AK,FRN,FORT RICHARDSON (ANCHORAGE),US,,,,,24 HRS,
2025/03/20,50146.0,A,AK,BIG,DELTA JUNCTION FT GREELY,US,R,ALLEN,24,,,
2025/03/20,50216.0,A,AK,FBK,FAIRBANKS/FT WAINWRIGHT,US,R,WAINWRIGHT OPERATIONS,1700-0800Z++ MON-FRI EXC HOLS; OTR TIMES BY NOTAM; OTR TIMES CLASS G.,,,
2025/03/20,50217.0,A,AK,EIL,FAIRBANKS,US,,,,,CONTINUOUS,
2025/03/20,50416.0,A,AK,AKN,KING SALMON,US,A,KING SALMON,0730-1630 MON-FRI,0730-1630 MON-FRI,,
2025/03/20,50425.0,A,AK,ADQ,KODIAK,US,C,KODIAK AIR,24,,,
2025/03/20,50711.0,A,AK,SLQ,SLEETMUTE,US,,TOW,,,,
2025/03/20,51510.2,A,GU,UAM,YIGO,US,,,,AMC COMD POST H24,CONTINUOUS,
2025/03/20,51516.2,A,,KWA,KWAJALEIN,MH,R,BUCHOLZ,24,,,
2025/03/20,52161.0,A,HI,HNL,HONOLULU,US,A,HICKAM,24,24,CONTINUOUS,(MIL_OPS_CALL) COMMUNICATIONS-: 15 AW COMD POST - 292.5 REMARKS: CALLSIGN (SHAKA OPS).   AIRMOBILITY CTL CENTER - 125.3 349.4 REMARKS: CALLSIGN (SHAKA OPS). 
2025/03/20,52550.1,A,HI,BSF,CAMP POHAKULOA,US,,,,,PART TIME,
2025/03/20,52587.0,A,HI,HHI,WAHIAWA,US,R,PINEAPPLE,M-F 1730Z-0900Z,,H24,"(PMSV_HRS) 125.1, DSN 315-456-1016/1017, C808-656-1016/1017.  ALT CTC 17 OWS, DSN 315-449-8333/7950, C808-449-8333/7950.  ALT METRO - 346.6 HICKAM."
2025/03/20,53004.0,A,PR,BQN,AGUADILLA,US,C,BORINQUEN OPNS,OPERATES WHEN UNIT ACFT ARE FLYING,,,
